layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.0630144253373146
layers.0.self_attn.k_proj,0,0.02453058958053589
layers.0.self_attn.v_proj,0,0.00042849150486290455
layers.0.self_attn.o_proj,0,0.00033142638858407736
layers.0.mlp.gate_proj,0,0.008360355161130428
layers.0.mlp.up_proj,0,0.0049655199982225895
layers.0.mlp.down_proj,0,0.0010139461373910308
layers.1.self_attn.q_proj,0,0.24616430699825287
layers.1.self_attn.k_proj,0,0.22922660410404205
layers.1.self_attn.v_proj,0,0.002489496720954776
layers.1.self_attn.o_proj,0,0.0001908065751194954
layers.1.mlp.gate_proj,0,0.01649240031838417
layers.1.mlp.up_proj,0,0.009925692342221737
layers.1.mlp.down_proj,0,0.1995334029197693
layers.2.self_attn.q_proj,0,0.44333896040916443
layers.2.self_attn.k_proj,0,0.4881231486797333
layers.2.self_attn.v_proj,0,0.018192438408732414
layers.2.self_attn.o_proj,0,0.0012119809398427606
layers.2.mlp.gate_proj,0,0.017734775319695473
layers.2.mlp.up_proj,0,0.012848734855651855
layers.2.mlp.down_proj,0,0.001025211880914867
layers.3.self_attn.q_proj,0,0.3447151780128479
layers.3.self_attn.k_proj,0,0.35625338554382324
layers.3.self_attn.v_proj,0,0.04530128464102745
layers.3.self_attn.o_proj,0,0.00043015845585614443
layers.3.mlp.gate_proj,0,0.028895847499370575
layers.3.mlp.up_proj,0,0.021971961483359337
layers.3.mlp.down_proj,0,0.0012853104854002595
layers.4.self_attn.q_proj,0,0.39183130860328674
layers.4.self_attn.k_proj,0,0.42396610975265503
layers.4.self_attn.v_proj,0,0.05093079060316086
layers.4.self_attn.o_proj,0,0.0007124850526452065
layers.4.mlp.gate_proj,0,0.0477481335401535
layers.4.mlp.up_proj,0,0.033598754554986954
layers.4.mlp.down_proj,0,0.004498581867665052
layers.5.self_attn.q_proj,0,0.40935561060905457
layers.5.self_attn.k_proj,0,0.4727117717266083
layers.5.self_attn.v_proj,0,0.06075425073504448
layers.5.self_attn.o_proj,0,0.0013861126499250531
layers.5.mlp.gate_proj,0,0.062291182577610016
layers.5.mlp.up_proj,0,0.04111238941550255
layers.5.mlp.down_proj,0,0.0041226898320019245
layers.6.self_attn.q_proj,0,0.5023179650306702
layers.6.self_attn.k_proj,0,0.5501360893249512
layers.6.self_attn.v_proj,0,0.08895811438560486
layers.6.self_attn.o_proj,0,0.0017896763747557998
layers.6.mlp.gate_proj,0,0.07786975800991058
layers.6.mlp.up_proj,0,0.051006611436605453
layers.6.mlp.down_proj,0,0.005736985243856907
layers.7.self_attn.q_proj,0,0.5405979156494141
layers.7.self_attn.k_proj,0,0.590560793876648
layers.7.self_attn.v_proj,0,0.10438133031129837
layers.7.self_attn.o_proj,0,0.0021135611459612846
layers.7.mlp.gate_proj,0,0.0920829027891159
layers.7.mlp.up_proj,0,0.06066379323601723
layers.7.mlp.down_proj,0,0.007969859056174755
layers.8.self_attn.q_proj,0,0.5075101256370544
layers.8.self_attn.k_proj,0,0.5742613673210144
layers.8.self_attn.v_proj,0,0.1142774373292923
layers.8.self_attn.o_proj,0,0.003228020155802369
layers.8.mlp.gate_proj,0,0.09760244935750961
layers.8.mlp.up_proj,0,0.06985197216272354
layers.8.mlp.down_proj,0,0.010348236188292503
layers.9.self_attn.q_proj,0,0.5356674790382385
layers.9.self_attn.k_proj,0,0.6430209279060364
layers.9.self_attn.v_proj,0,0.1337832510471344
layers.9.self_attn.o_proj,0,0.004066192079335451
layers.9.mlp.gate_proj,0,0.10418356209993362
layers.9.mlp.up_proj,0,0.07905447483062744
layers.9.mlp.down_proj,0,0.012796568684279919
layers.10.self_attn.q_proj,0,0.5552199482917786
layers.10.self_attn.k_proj,0,0.7106456160545349
layers.10.self_attn.v_proj,0,0.15352217853069305
layers.10.self_attn.o_proj,0,0.005315246991813183
layers.10.mlp.gate_proj,0,0.10735149681568146
layers.10.mlp.up_proj,0,0.08456594496965408
layers.10.mlp.down_proj,0,0.014439132995903492
layers.11.self_attn.q_proj,0,0.5794421434402466
layers.11.self_attn.k_proj,0,0.6887933611869812
layers.11.self_attn.v_proj,0,0.19569940865039825
layers.11.self_attn.o_proj,0,0.0048192813992500305
layers.11.mlp.gate_proj,0,0.11479885131120682
layers.11.mlp.up_proj,0,0.09356864541769028
layers.11.mlp.down_proj,0,0.015814756974577904
layers.12.self_attn.q_proj,0,0.6093092560768127
layers.12.self_attn.k_proj,0,0.7861855626106262
layers.12.self_attn.v_proj,0,0.188931405544281
layers.12.self_attn.o_proj,0,0.0060443272814154625
layers.12.mlp.gate_proj,0,0.11784929782152176
layers.12.mlp.up_proj,0,0.09861818701028824
layers.12.mlp.down_proj,0,0.017995459958910942
layers.13.self_attn.q_proj,0,0.6318620443344116
layers.13.self_attn.k_proj,0,0.7302328944206238
layers.13.self_attn.v_proj,0,0.1906428188085556
layers.13.self_attn.o_proj,0,0.00703092198818922
layers.13.mlp.gate_proj,0,0.12653934955596924
layers.13.mlp.up_proj,0,0.11035662889480591
layers.13.mlp.down_proj,0,0.022153187543153763
layers.14.self_attn.q_proj,0,0.6557725667953491
layers.14.self_attn.k_proj,0,0.8157460689544678
layers.14.self_attn.v_proj,0,0.19445356726646423
layers.14.self_attn.o_proj,0,0.007344142533838749
layers.14.mlp.gate_proj,0,0.1399020254611969
layers.14.mlp.up_proj,0,0.12173943966627121
layers.14.mlp.down_proj,0,0.02563687600195408
layers.15.self_attn.q_proj,0,0.6341512799263
layers.15.self_attn.k_proj,0,0.776728093624115
layers.15.self_attn.v_proj,0,0.20488248765468597
layers.15.self_attn.o_proj,0,0.008768545463681221
layers.15.mlp.gate_proj,0,0.15395157039165497
layers.15.mlp.up_proj,0,0.13708041608333588
layers.15.mlp.down_proj,0,0.03239833936095238
layers.16.self_attn.q_proj,0,0.6373729109764099
layers.16.self_attn.k_proj,0,0.7586837410926819
layers.16.self_attn.v_proj,0,0.21454429626464844
layers.16.self_attn.o_proj,0,0.012262946926057339
layers.16.mlp.gate_proj,0,0.17674560844898224
layers.16.mlp.up_proj,0,0.15374238789081573
layers.16.mlp.down_proj,0,0.040795013308525085
layers.17.self_attn.q_proj,0,0.6576236486434937
layers.17.self_attn.k_proj,0,0.7381927371025085
layers.17.self_attn.v_proj,0,0.23845231533050537
layers.17.self_attn.o_proj,0,0.009429487399756908
layers.17.mlp.gate_proj,0,0.20777171850204468
layers.17.mlp.up_proj,0,0.1705712527036667
layers.17.mlp.down_proj,0,0.045793067663908005
layers.18.self_attn.q_proj,0,0.6986251473426819
layers.18.self_attn.k_proj,0,0.7559130787849426
layers.18.self_attn.v_proj,0,0.2937624156475067
layers.18.self_attn.o_proj,0,0.01049818005412817
layers.18.mlp.gate_proj,0,0.23639097809791565
layers.18.mlp.up_proj,0,0.19210249185562134
layers.18.mlp.down_proj,0,0.05428459867835045
layers.19.self_attn.q_proj,0,0.6740540266036987
layers.19.self_attn.k_proj,0,0.7801527380943298
layers.19.self_attn.v_proj,0,0.3045024573802948
layers.19.self_attn.o_proj,0,0.011575046926736832
layers.19.mlp.gate_proj,0,0.24550525844097137
layers.19.mlp.up_proj,0,0.20681892335414886
layers.19.mlp.down_proj,0,0.058627910912036896
layers.20.self_attn.q_proj,0,0.7206976413726807
layers.20.self_attn.k_proj,0,0.8480111360549927
layers.20.self_attn.v_proj,0,0.30929455161094666
layers.20.self_attn.o_proj,0,0.013977446593344212
layers.20.mlp.gate_proj,0,0.27690696716308594
layers.20.mlp.up_proj,0,0.22005575895309448
layers.20.mlp.down_proj,0,0.06381691992282867
layers.21.self_attn.q_proj,0,0.7505683302879333
layers.21.self_attn.k_proj,0,0.8377477526664734
layers.21.self_attn.v_proj,0,0.4017944037914276
layers.21.self_attn.o_proj,0,0.01469945814460516
