layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.0008389783324673772
layers.0.self_attn.q_proj,1,0.24408790469169617
layers.0.self_attn.q_proj,2,0.2960336208343506
layers.0.self_attn.q_proj,3,0.19870230555534363
layers.0.self_attn.q_proj,4,0.2538676857948303
layers.0.self_attn.q_proj,5,0.12983591854572296
layers.0.self_attn.q_proj,6,0.15652039647102356
layers.0.self_attn.q_proj,7,0.28515276312828064
layers.0.self_attn.k_proj,0,0.0007993053877726197
layers.0.self_attn.k_proj,1,0.20806169509887695
layers.0.self_attn.k_proj,2,0.30620643496513367
layers.0.self_attn.k_proj,3,0.21833546459674835
layers.0.self_attn.k_proj,4,0.31636011600494385
layers.0.self_attn.k_proj,5,0.2010706216096878
layers.0.self_attn.k_proj,6,0.17466416954994202
layers.0.self_attn.k_proj,7,0.30534809827804565
layers.0.self_attn.v_proj,0,4.364527194411494e-05
layers.0.self_attn.v_proj,1,0.001458686194382608
layers.0.self_attn.v_proj,2,0.0018552395049482584
layers.0.self_attn.v_proj,3,0.001592201180756092
layers.0.self_attn.v_proj,4,0.0020618729759007692
layers.0.self_attn.v_proj,5,0.0016407439252361655
layers.0.self_attn.v_proj,6,0.0015157654415816069
layers.0.self_attn.v_proj,7,0.002167612547054887
layers.0.self_attn.o_proj,0,7.316642040677834e-06
layers.0.self_attn.o_proj,1,4.4721415179083124e-05
layers.0.self_attn.o_proj,2,8.465467544738203e-05
layers.0.self_attn.o_proj,3,5.4476113291457295e-05
layers.0.self_attn.o_proj,4,7.965245458763093e-05
layers.0.self_attn.o_proj,5,5.325327947502956e-05
layers.0.self_attn.o_proj,6,4.704582897829823e-05
layers.0.self_attn.o_proj,7,7.215140794869512e-05
layers.0.mlp.gate_proj,0,0.0002669563109520823
layers.0.mlp.gate_proj,1,0.003427614690735936
layers.0.mlp.gate_proj,2,0.004302049987018108
layers.0.mlp.gate_proj,3,0.004452246241271496
layers.0.mlp.gate_proj,4,0.005335920490324497
layers.0.mlp.gate_proj,5,0.005111653357744217
layers.0.mlp.gate_proj,6,0.004757332149893045
layers.0.mlp.gate_proj,7,0.00519017968326807
layers.0.mlp.up_proj,0,0.00022315760725177824
layers.0.mlp.up_proj,1,0.002760313916951418
layers.0.mlp.up_proj,2,0.003381231566891074
layers.0.mlp.up_proj,3,0.0036219125613570213
layers.0.mlp.up_proj,4,0.0042372215539216995
layers.0.mlp.up_proj,5,0.00433695875108242
layers.0.mlp.up_proj,6,0.003967226482927799
layers.0.mlp.up_proj,7,0.0042310054413974285
layers.0.mlp.down_proj,0,1.1375291251169983e-05
layers.0.mlp.down_proj,1,0.00018450277275405824
layers.0.mlp.down_proj,2,0.00020874207257293165
layers.0.mlp.down_proj,3,0.00019809961668215692
layers.0.mlp.down_proj,4,0.0002587751077953726
layers.0.mlp.down_proj,5,0.00017810464487411082
layers.0.mlp.down_proj,6,0.00017676320567261428
layers.0.mlp.down_proj,7,0.00022588626598007977
layers.1.self_attn.q_proj,0,0.0066562071442604065
layers.1.self_attn.q_proj,1,0.1921686828136444
layers.1.self_attn.q_proj,2,0.22355225682258606
layers.1.self_attn.q_proj,3,0.2175064980983734
layers.1.self_attn.q_proj,4,0.2379293143749237
layers.1.self_attn.q_proj,5,0.17820987105369568
layers.1.self_attn.q_proj,6,0.20519962906837463
layers.1.self_attn.q_proj,7,0.2646787166595459
layers.1.self_attn.k_proj,0,0.007099159061908722
layers.1.self_attn.k_proj,1,0.2890884578227997
layers.1.self_attn.k_proj,2,0.34980708360671997
layers.1.self_attn.k_proj,3,0.3066537380218506
layers.1.self_attn.k_proj,4,0.34896862506866455
layers.1.self_attn.k_proj,5,0.26512664556503296
layers.1.self_attn.k_proj,6,0.2729010581970215
layers.1.self_attn.k_proj,7,0.37284618616104126
layers.1.self_attn.v_proj,0,9.21350292628631e-05
layers.1.self_attn.v_proj,1,0.003428275929763913
layers.1.self_attn.v_proj,2,0.003965010400861502
layers.1.self_attn.v_proj,3,0.004784658085554838
layers.1.self_attn.v_proj,4,0.004615774378180504
layers.1.self_attn.v_proj,5,0.004908722825348377
layers.1.self_attn.v_proj,6,0.004711960442364216
layers.1.self_attn.v_proj,7,0.005203739739954472
layers.1.self_attn.o_proj,0,1.4896003449393902e-05
layers.1.self_attn.o_proj,1,9.782715642359108e-05
layers.1.self_attn.o_proj,2,0.0001814699062379077
layers.1.self_attn.o_proj,3,0.00017345747619401664
layers.1.self_attn.o_proj,4,0.00022730670752935112
layers.1.self_attn.o_proj,5,0.00020363309886306524
layers.1.self_attn.o_proj,6,0.00020019392832182348
layers.1.self_attn.o_proj,7,0.00026075373170897365
layers.1.mlp.gate_proj,0,0.0008126870379783213
layers.1.mlp.gate_proj,1,0.010651066899299622
layers.1.mlp.gate_proj,2,0.015674011781811714
layers.1.mlp.gate_proj,3,0.01620890572667122
layers.1.mlp.gate_proj,4,0.019115522503852844
layers.1.mlp.gate_proj,5,0.017772067338228226
layers.1.mlp.gate_proj,6,0.017449935898184776
layers.1.mlp.gate_proj,7,0.018118001520633698
layers.1.mlp.up_proj,0,0.00042781836236827075
layers.1.mlp.up_proj,1,0.008171732537448406
layers.1.mlp.up_proj,2,0.01117801759392023
layers.1.mlp.up_proj,3,0.012119011953473091
layers.1.mlp.up_proj,4,0.01357568334788084
layers.1.mlp.up_proj,5,0.012958704493939877
layers.1.mlp.up_proj,6,0.012935195118188858
layers.1.mlp.up_proj,7,0.013065733946859837
layers.1.mlp.down_proj,0,0.022293146699666977
layers.1.mlp.down_proj,1,0.0002941585553344339
layers.1.mlp.down_proj,2,0.0004918331396766007
layers.1.mlp.down_proj,3,0.0005385878030210733
layers.1.mlp.down_proj,4,0.0006239840295165777
layers.1.mlp.down_proj,5,0.0005331753636710346
layers.1.mlp.down_proj,6,0.000504944589920342
layers.1.mlp.down_proj,7,0.0005127523909322917
layers.2.self_attn.q_proj,0,0.007348550017923117
layers.2.self_attn.q_proj,1,0.27141618728637695
layers.2.self_attn.q_proj,2,0.34295448660850525
layers.2.self_attn.q_proj,3,0.3330390751361847
layers.2.self_attn.q_proj,4,0.34388503432273865
layers.2.self_attn.q_proj,5,0.35036903619766235
layers.2.self_attn.q_proj,6,0.38626646995544434
layers.2.self_attn.q_proj,7,0.40901198983192444
layers.2.self_attn.k_proj,0,0.007891449145972729
layers.2.self_attn.k_proj,1,0.3835766911506653
layers.2.self_attn.k_proj,2,0.47399163246154785
layers.2.self_attn.k_proj,3,0.49722322821617126
layers.2.self_attn.k_proj,4,0.49379047751426697
layers.2.self_attn.k_proj,5,0.4838988184928894
layers.2.self_attn.k_proj,6,0.5139104127883911
layers.2.self_attn.k_proj,7,0.5832269191741943
layers.2.self_attn.v_proj,0,0.0008995197131298482
layers.2.self_attn.v_proj,1,0.03487977758049965
layers.2.self_attn.v_proj,2,0.04505884647369385
layers.2.self_attn.v_proj,3,0.049303825944662094
layers.2.self_attn.v_proj,4,0.0492723286151886
layers.2.self_attn.v_proj,5,0.05189720541238785
layers.2.self_attn.v_proj,6,0.05484269931912422
layers.2.self_attn.v_proj,7,0.05524535849690437
layers.2.self_attn.o_proj,0,4.1775365389185026e-05
layers.2.self_attn.o_proj,1,0.00024298438802361488
layers.2.self_attn.o_proj,2,0.0003160469641443342
layers.2.self_attn.o_proj,3,0.0005431618774309754
layers.2.self_attn.o_proj,4,0.0005561429425142705
layers.2.self_attn.o_proj,5,0.0006683389656245708
layers.2.self_attn.o_proj,6,0.000660617311950773
layers.2.self_attn.o_proj,7,0.0007185371359810233
layers.2.mlp.gate_proj,0,0.0013403138145804405
layers.2.mlp.gate_proj,1,0.020125513896346092
layers.2.mlp.gate_proj,2,0.025802090764045715
layers.2.mlp.gate_proj,3,0.028835270553827286
layers.2.mlp.gate_proj,4,0.03342509642243385
layers.2.mlp.gate_proj,5,0.035474974662065506
layers.2.mlp.gate_proj,6,0.034355711191892624
layers.2.mlp.gate_proj,7,0.03719129413366318
layers.2.mlp.up_proj,0,0.0008562617003917694
layers.2.mlp.up_proj,1,0.015905294567346573
layers.2.mlp.up_proj,2,0.01965995691716671
layers.2.mlp.up_proj,3,0.02227628044784069
layers.2.mlp.up_proj,4,0.0247893538326025
layers.2.mlp.up_proj,5,0.025720737874507904
layers.2.mlp.up_proj,6,0.025862857699394226
layers.2.mlp.up_proj,7,0.02659142017364502
layers.2.mlp.down_proj,0,5.177427738090046e-05
layers.2.mlp.down_proj,1,0.0007909067207947373
layers.2.mlp.down_proj,2,0.0008191730012185872
layers.2.mlp.down_proj,3,0.0008514157379977405
layers.2.mlp.down_proj,4,0.0010436896700412035
layers.2.mlp.down_proj,5,0.001137843239121139
layers.2.mlp.down_proj,6,0.0010643962305039167
layers.2.mlp.down_proj,7,0.0011318151373416185
layers.3.self_attn.q_proj,0,0.019099131226539612
layers.3.self_attn.q_proj,1,0.40451550483703613
layers.3.self_attn.q_proj,2,0.5253841280937195
layers.3.self_attn.q_proj,3,0.5743773579597473
layers.3.self_attn.q_proj,4,0.6086325645446777
layers.3.self_attn.q_proj,5,0.5866426825523376
layers.3.self_attn.q_proj,6,0.6654152274131775
layers.3.self_attn.q_proj,7,0.706521213054657
layers.3.self_attn.k_proj,0,0.020895693451166153
layers.3.self_attn.k_proj,1,0.5110725164413452
layers.3.self_attn.k_proj,2,0.6175141930580139
layers.3.self_attn.k_proj,3,0.7183865904808044
layers.3.self_attn.k_proj,4,0.7462390065193176
layers.3.self_attn.k_proj,5,0.7222927808761597
layers.3.self_attn.k_proj,6,0.7918365001678467
layers.3.self_attn.k_proj,7,0.8467003107070923
layers.3.self_attn.v_proj,0,0.003205535700544715
layers.3.self_attn.v_proj,1,0.07234562188386917
layers.3.self_attn.v_proj,2,0.09020967781543732
layers.3.self_attn.v_proj,3,0.10087903589010239
layers.3.self_attn.v_proj,4,0.10696081817150116
layers.3.self_attn.v_proj,5,0.10864368826150894
layers.3.self_attn.v_proj,6,0.11215851455926895
layers.3.self_attn.v_proj,7,0.11543916165828705
layers.3.self_attn.o_proj,0,3.560816548997536e-05
layers.3.self_attn.o_proj,1,0.0003889201325364411
layers.3.self_attn.o_proj,2,0.0004946441622450948
layers.3.self_attn.o_proj,3,0.000571897835470736
layers.3.self_attn.o_proj,4,0.0006318019586615264
layers.3.self_attn.o_proj,5,0.000943768594879657
layers.3.self_attn.o_proj,6,0.0006533822161145508
layers.3.self_attn.o_proj,7,0.0006388266920112073
layers.3.mlp.gate_proj,0,0.00208069640211761
layers.3.mlp.gate_proj,1,0.03151359409093857
layers.3.mlp.gate_proj,2,0.03780956566333771
layers.3.mlp.gate_proj,3,0.042082708328962326
layers.3.mlp.gate_proj,4,0.0465354286134243
layers.3.mlp.gate_proj,5,0.05040520802140236
layers.3.mlp.gate_proj,6,0.050505008548498154
layers.3.mlp.gate_proj,7,0.052377887070178986
layers.3.mlp.up_proj,0,0.0015482918825000525
layers.3.mlp.up_proj,1,0.024799102917313576
layers.3.mlp.up_proj,2,0.02866530977189541
layers.3.mlp.up_proj,3,0.0326048769056797
layers.3.mlp.up_proj,4,0.03570006787776947
layers.3.mlp.up_proj,5,0.03847119212150574
layers.3.mlp.up_proj,6,0.03833805397152901
layers.3.mlp.up_proj,7,0.039519667625427246
layers.3.mlp.down_proj,0,9.877562115434557e-05
layers.3.mlp.down_proj,1,0.001473095384426415
layers.3.mlp.down_proj,2,0.0016201036050915718
layers.3.mlp.down_proj,3,0.0016205012798309326
layers.3.mlp.down_proj,4,0.0019159724470227957
layers.3.mlp.down_proj,5,0.002131284447386861
layers.3.mlp.down_proj,6,0.0019689155742526054
layers.3.mlp.down_proj,7,0.0021505900658667088
layers.4.self_attn.q_proj,0,0.025920052081346512
layers.4.self_attn.q_proj,1,0.35626116394996643
layers.4.self_attn.q_proj,2,0.5161551833152771
layers.4.self_attn.q_proj,3,0.5099130272865295
layers.4.self_attn.q_proj,4,0.5360221266746521
layers.4.self_attn.q_proj,5,0.5342942476272583
layers.4.self_attn.q_proj,6,0.5868560671806335
layers.4.self_attn.q_proj,7,0.6257756948471069
layers.4.self_attn.k_proj,0,0.02979574166238308
layers.4.self_attn.k_proj,1,0.516809344291687
layers.4.self_attn.k_proj,2,0.6718932390213013
layers.4.self_attn.k_proj,3,0.7368870377540588
layers.4.self_attn.k_proj,4,0.7622748613357544
layers.4.self_attn.k_proj,5,0.7270177006721497
layers.4.self_attn.k_proj,6,0.7857828736305237
layers.4.self_attn.k_proj,7,0.8702327013015747
layers.4.self_attn.v_proj,0,0.004964218940585852
layers.4.self_attn.v_proj,1,0.07133401185274124
layers.4.self_attn.v_proj,2,0.09116949141025543
layers.4.self_attn.v_proj,3,0.09542451053857803
layers.4.self_attn.v_proj,4,0.10067789256572723
layers.4.self_attn.v_proj,5,0.10349011421203613
layers.4.self_attn.v_proj,6,0.1064787358045578
layers.4.self_attn.v_proj,7,0.11478617042303085
layers.4.self_attn.o_proj,0,5.1600429287645966e-05
layers.4.self_attn.o_proj,1,0.0005445502465590835
layers.4.self_attn.o_proj,2,0.0007395902066491544
layers.4.self_attn.o_proj,3,0.0008003425900824368
layers.4.self_attn.o_proj,4,0.0010748471831902862
layers.4.self_attn.o_proj,5,0.0012021599104627967
layers.4.self_attn.o_proj,6,0.0013042776845395565
layers.4.self_attn.o_proj,7,0.0009385736775584519
layers.4.mlp.gate_proj,0,0.0037531778216362
layers.4.mlp.gate_proj,1,0.04774392768740654
layers.4.mlp.gate_proj,2,0.056244269013404846
layers.4.mlp.gate_proj,3,0.05996257811784744
layers.4.mlp.gate_proj,4,0.06665075570344925
layers.4.mlp.gate_proj,5,0.07119886577129364
layers.4.mlp.gate_proj,6,0.07210234552621841
layers.4.mlp.gate_proj,7,0.07488038390874863
layers.4.mlp.up_proj,0,0.0025696002412587404
layers.4.mlp.up_proj,1,0.03475541993975639
layers.4.mlp.up_proj,2,0.04095397889614105
layers.4.mlp.up_proj,3,0.043648481369018555
layers.4.mlp.up_proj,4,0.048415232449769974
layers.4.mlp.up_proj,5,0.05197601392865181
layers.4.mlp.up_proj,6,0.050924066454172134
layers.4.mlp.up_proj,7,0.05373433977365494
layers.4.mlp.down_proj,0,0.0002467231242917478
layers.4.mlp.down_proj,1,0.002978757955133915
layers.4.mlp.down_proj,2,0.002900962485000491
layers.4.mlp.down_proj,3,0.003041323972865939
layers.4.mlp.down_proj,4,0.003394658910110593
layers.4.mlp.down_proj,5,0.0037270262837409973
layers.4.mlp.down_proj,6,0.003636609297245741
layers.4.mlp.down_proj,7,0.003593954723328352
layers.5.self_attn.q_proj,0,0.034531887620687485
layers.5.self_attn.q_proj,1,0.3480120301246643
layers.5.self_attn.q_proj,2,0.5408531427383423
layers.5.self_attn.q_proj,3,0.5430007576942444
layers.5.self_attn.q_proj,4,0.5774596929550171
layers.5.self_attn.q_proj,5,0.5639504194259644
layers.5.self_attn.q_proj,6,0.6231107115745544
layers.5.self_attn.q_proj,7,0.6795536279678345
layers.5.self_attn.k_proj,0,0.035415373742580414
layers.5.self_attn.k_proj,1,0.5960056185722351
layers.5.self_attn.k_proj,2,0.7667437791824341
layers.5.self_attn.k_proj,3,0.8092486262321472
layers.5.self_attn.k_proj,4,0.8489691615104675
layers.5.self_attn.k_proj,5,0.8041461706161499
layers.5.self_attn.k_proj,6,0.9071565866470337
layers.5.self_attn.k_proj,7,1.0057122707366943
layers.5.self_attn.v_proj,0,0.006222863681614399
layers.5.self_attn.v_proj,1,0.07688333094120026
layers.5.self_attn.v_proj,2,0.09810991585254669
layers.5.self_attn.v_proj,3,0.10222437232732773
layers.5.self_attn.v_proj,4,0.10945302248001099
layers.5.self_attn.v_proj,5,0.11100251972675323
layers.5.self_attn.v_proj,6,0.11429852247238159
layers.5.self_attn.v_proj,7,0.12283267825841904
layers.5.self_attn.o_proj,0,9.62660342338495e-05
layers.5.self_attn.o_proj,1,0.0007318651187233627
layers.5.self_attn.o_proj,2,0.0016711426433175802
layers.5.self_attn.o_proj,3,0.0019696287345141172
layers.5.self_attn.o_proj,4,0.0022081448696553707
layers.5.self_attn.o_proj,5,0.0023314855061471462
layers.5.self_attn.o_proj,6,0.002793224062770605
layers.5.self_attn.o_proj,7,0.00264654285274446
layers.5.mlp.gate_proj,0,0.004860714543610811
layers.5.mlp.gate_proj,1,0.055322784930467606
layers.5.mlp.gate_proj,2,0.07176993787288666
layers.5.mlp.gate_proj,3,0.07274368405342102
