layer,sample_idx,mse
layers.0.self_attn.q_proj,0,0.00083919707685709
layers.0.self_attn.k_proj,0,0.0007992435130290687
layers.0.self_attn.v_proj,0,4.36324771726504e-05
layers.0.self_attn.o_proj,0,5.91443767916644e-06
layers.0.mlp.gate_proj,0,0.00021406802989076823
layers.0.mlp.up_proj,0,0.0001772129617165774
layers.0.mlp.down_proj,0,1.2168313332949765e-05
layers.1.self_attn.q_proj,0,0.0032452763989567757
layers.1.self_attn.k_proj,0,0.003328869817778468
layers.1.self_attn.v_proj,0,7.645600271644071e-05
layers.1.self_attn.o_proj,0,1.4806938452238683e-05
layers.1.mlp.gate_proj,0,0.0007625647704117
layers.1.mlp.up_proj,0,0.0003968983073718846
layers.1.mlp.down_proj,0,0.023506546393036842
layers.2.self_attn.q_proj,0,0.014322534203529358
layers.2.self_attn.k_proj,0,0.01768380030989647
layers.2.self_attn.v_proj,0,0.0008774016168899834
layers.2.self_attn.o_proj,0,6.727647996740416e-05
layers.2.mlp.gate_proj,0,0.0013216211227700114
layers.2.mlp.up_proj,0,0.0008655119454488158
layers.2.mlp.down_proj,0,6.601888890145347e-05
layers.3.self_attn.q_proj,0,0.023060036823153496
layers.3.self_attn.k_proj,0,0.024685490876436234
layers.3.self_attn.v_proj,0,0.0030472474172711372
layers.3.self_attn.o_proj,0,4.3883374019060284e-05
layers.3.mlp.gate_proj,0,0.0021249321289360523
layers.3.mlp.up_proj,0,0.0015952293761074543
layers.3.mlp.down_proj,0,0.00010711781214922667
layers.4.self_attn.q_proj,0,0.025759084150195122
layers.4.self_attn.k_proj,0,0.02667672000825405
layers.4.self_attn.v_proj,0,0.004075782839208841
layers.4.self_attn.o_proj,0,5.9159348893444985e-05
layers.4.mlp.gate_proj,0,0.0036766123957931995
layers.4.mlp.up_proj,0,0.0026611867360770702
layers.4.mlp.down_proj,0,0.0002966430620290339
layers.5.self_attn.q_proj,0,0.032910075038671494
layers.5.self_attn.k_proj,0,0.034856993705034256
layers.5.self_attn.v_proj,0,0.005430484190583229
layers.5.self_attn.o_proj,0,0.0001642317365622148
layers.5.mlp.gate_proj,0,0.00573488837108016
layers.5.mlp.up_proj,0,0.0037171379663050175
layers.5.mlp.down_proj,0,0.0004335164267104119
