parameter,mse,cosine_similarity
model.layers.0.self_attn.q_proj.weight,2.137822775694076e-06,0.9969480037689209
model.layers.0.self_attn.k_proj.weight,2.4685587050043978e-06,0.9966198205947876
model.layers.0.self_attn.v_proj.weight,8.290509754260711e-07,0.9978818297386169
model.layers.0.self_attn.o_proj.weight,3.941927673167811e-07,0.997828483581543
model.layers.0.mlp.gate_proj.weight,1.978879481612239e-06,1.0033042430877686
model.layers.0.mlp.up_proj.weight,1.9152546428813366e-06,1.003366231918335
model.layers.0.mlp.down_proj.weight,2.0950772068317747e-06,1.003147840499878
model.layers.1.self_attn.q_proj.weight,4.8832303036761004e-06,0.9981812834739685
model.layers.1.self_attn.k_proj.weight,4.876244474871783e-06,0.9981895685195923
model.layers.1.self_attn.v_proj.weight,7.040355853860092e-07,0.9977326393127441
model.layers.1.self_attn.o_proj.weight,4.949707204104925e-07,0.9982224702835083
model.layers.1.mlp.gate_proj.weight,2.4253997708001407e-06,1.00229811668396
model.layers.1.mlp.up_proj.weight,2.164028273909935e-06,1.0029146671295166
model.layers.1.mlp.down_proj.weight,2.24051268560288e-06,1.0027544498443604
model.layers.2.self_attn.q_proj.weight,4.9339173529006075e-06,0.9984181523323059
model.layers.2.self_attn.k_proj.weight,5.395697826315882e-06,0.9984773993492126
model.layers.2.self_attn.v_proj.weight,1.4399447536561638e-06,0.997721791267395
model.layers.2.self_attn.o_proj.weight,1.3469114037434338e-06,0.9979007244110107
model.layers.2.mlp.gate_proj.weight,2.5827409899648046e-06,1.0019118785858154
model.layers.2.mlp.up_proj.weight,2.2453384644904872e-06,1.002719759941101
model.layers.2.mlp.down_proj.weight,2.2708809410687536e-06,1.0026450157165527
model.layers.3.self_attn.q_proj.weight,4.45444220531499e-06,0.9981092810630798
model.layers.3.self_attn.k_proj.weight,4.742203600471839e-06,0.9981074333190918
model.layers.3.self_attn.v_proj.weight,1.293985860684188e-06,0.9980558156967163
model.layers.3.self_attn.o_proj.weight,1.2277898804313736e-06,0.9980180263519287
model.layers.3.mlp.gate_proj.weight,2.6602774596540257e-06,1.0017732381820679
model.layers.3.mlp.up_proj.weight,2.2775334400648717e-06,1.0026261806488037
model.layers.3.mlp.down_proj.weight,2.2835629351902753e-06,1.0026010274887085
model.layers.4.self_attn.q_proj.weight,4.84763359054341e-06,0.9978941679000854
model.layers.4.self_attn.k_proj.weight,5.000440523872385e-06,0.998062014579773
model.layers.4.self_attn.v_proj.weight,1.4416655176319182e-06,0.9977432489395142
model.layers.4.self_attn.o_proj.weight,1.3692415450350381e-06,0.9978766441345215
model.layers.4.mlp.gate_proj.weight,2.7734502054954646e-06,1.002100944519043
model.layers.4.mlp.up_proj.weight,2.2461151729658013e-06,1.0027135610580444
model.layers.4.mlp.down_proj.weight,2.233395889561507e-06,1.0027416944503784
model.layers.5.self_attn.q_proj.weight,4.8724596126703545e-06,0.9979078769683838
model.layers.5.self_attn.k_proj.weight,5.24754523212323e-06,0.9980292916297913
model.layers.5.self_attn.v_proj.weight,1.5159549775489722e-06,0.9977289438247681
model.layers.5.self_attn.o_proj.weight,1.4426358347918722e-06,0.9978286623954773
model.layers.5.mlp.gate_proj.weight,2.802482640618109e-06,1.0023123025894165
model.layers.5.mlp.up_proj.weight,2.245857558591524e-06,1.002686619758606
model.layers.5.mlp.down_proj.weight,2.2355106921168044e-06,1.0027329921722412
model.layers.6.self_attn.q_proj.weight,4.309485120757017e-06,0.9980673789978027
model.layers.6.self_attn.k_proj.weight,4.444788828550372e-06,0.9981658458709717
model.layers.6.self_attn.v_proj.weight,1.304772467847215e-06,0.997896134853363
model.layers.6.self_attn.o_proj.weight,1.255403276445577e-06,0.9979594945907593
model.layers.6.mlp.gate_proj.weight,2.8955701054655947e-06,1.0026992559432983
model.layers.6.mlp.up_proj.weight,2.2300309865386225e-06,1.0027740001678467
model.layers.6.mlp.down_proj.weight,2.2094836822361685e-06,1.0027997493743896
model.layers.7.self_attn.q_proj.weight,4.27875329478411e-06,0.9980076551437378
model.layers.7.self_attn.k_proj.weight,4.298892235965468e-06,0.9981061816215515
model.layers.7.self_attn.v_proj.weight,1.3369648286243319e-06,0.9976588487625122
model.layers.7.self_attn.o_proj.weight,1.27698501728446e-06,0.997947096824646
model.layers.7.mlp.gate_proj.weight,2.8899121389258653e-06,1.0026757717132568
model.layers.7.mlp.up_proj.weight,2.2445233298640233e-06,1.002707839012146
model.layers.7.mlp.down_proj.weight,2.2169415387907065e-06,1.0027740001678467
model.layers.8.self_attn.q_proj.weight,4.35609672422288e-06,0.9981185793876648
model.layers.8.self_attn.k_proj.weight,4.400692887429614e-06,0.9982600212097168
model.layers.8.self_attn.v_proj.weight,1.4134004686638946e-06,0.9978688955307007
model.layers.8.self_attn.o_proj.weight,1.3574123158832663e-06,0.9978857040405273
model.layers.8.mlp.gate_proj.weight,2.7979592687188415e-06,1.0024361610412598
model.layers.8.mlp.up_proj.weight,2.300446340086637e-06,1.0025956630706787
model.layers.8.mlp.down_proj.weight,2.2638078007730655e-06,1.002686619758606
model.layers.9.self_attn.q_proj.weight,4.390409685584018e-06,0.9981401562690735
model.layers.9.self_attn.k_proj.weight,4.596843609760981e-06,0.9981522560119629
model.layers.9.self_attn.v_proj.weight,1.4687961993331555e-06,0.9977703094482422
model.layers.9.self_attn.o_proj.weight,1.4170261692925123e-06,0.9978330135345459
model.layers.9.mlp.gate_proj.weight,2.742413926171139e-06,1.0022231340408325
model.layers.9.mlp.up_proj.weight,2.3319378215092e-06,1.0025031566619873
model.layers.9.mlp.down_proj.weight,2.296934781043092e-06,1.002618670463562
model.layers.10.self_attn.q_proj.weight,4.3597187868726905e-06,0.998031735420227
model.layers.10.self_attn.k_proj.weight,4.6098029997665435e-06,0.9980799555778503
model.layers.10.self_attn.v_proj.weight,1.4428881058847765e-06,0.997986912727356
model.layers.10.self_attn.o_proj.weight,1.4074121281737462e-06,0.9978383779525757
model.layers.10.mlp.gate_proj.weight,2.7246262561675394e-06,1.0022320747375488
model.layers.10.mlp.up_proj.weight,2.380523483225261e-06,1.0024210214614868
model.layers.10.mlp.down_proj.weight,2.338823151148972e-06,1.0025079250335693
model.layers.11.self_attn.q_proj.weight,3.89935075872927e-06,0.998150646686554
model.layers.11.self_attn.k_proj.weight,3.8841717469040304e-06,0.9981391429901123
model.layers.11.self_attn.v_proj.weight,1.56868281919742e-06,0.9975371956825256
model.layers.11.self_attn.o_proj.weight,1.519120814919006e-06,0.9977627992630005
model.layers.11.mlp.gate_proj.weight,2.7061403216066537e-06,1.0021253824234009
model.layers.11.mlp.up_proj.weight,2.4215091798396315e-06,1.0023484230041504
model.layers.11.mlp.down_proj.weight,2.3669244910706766e-06,1.0024349689483643
model.layers.12.self_attn.q_proj.weight,4.1119697016256396e-06,0.9980753064155579
model.layers.12.self_attn.k_proj.weight,4.343516138760606e-06,0.9981772899627686
model.layers.12.self_attn.v_proj.weight,1.5296258197849966e-06,0.9977545142173767
model.layers.12.self_attn.o_proj.weight,1.4895116464685998e-06,0.9977949857711792
